name,email,personnummer,average_heartbeat,chronic_illness
Jonas Olofsson,jonas.olofsson798@example.se,19581026-4047,74,Hypertension
Erik Laine,erik.laine705@example.se,20031206-1157,71,Type 2 Diabetes
Emil Olofsson,emil.olofsson914@example.se,19990220-2147,66,
Kari Rasmussen,kari.rasmussen531@example.se,19601011-5984,51,
Jonas Andersson,jonas.andersson580@example.se,19830809-7088,76,Migraine
Nora Svensson,nora.svensson69@example.se,19891210-2075,64,
Kasper Nielsen,kasper.nielsen86@example.se,19580409-4326,71,Asthma
Anna Eriksen,anna.eriksen495@example.se,20001007-5350,71,Celiac Disease
Aksel Lund,aksel.lund627@example.se,20040801-3110,75,Hypothyroidism
Sanna Holm,sanna.holm13@example.se,19661105-3719,77,Arthritis
Nora Dahl,nora.dahl200@example.se,19880810-6245,74,Type 2 Diabetes
Kasper Berg,kasper.berg154@example.se,19930914-3228,75,Hypertension
Ingrid Virtanen,ingrid.virtanen863@example.se,19670616-4200,82,Type 2 Diabetes
Sanna Holm,sanna.holm676@example.se,19570903-1712,79,Hypothyroidism
Lars Nielsen,lars.nielsen716@example.se,19851121-6589,67,Migraine
Nora Eriksen,nora.eriksen423@example.se,20000601-1963,70,COPD
Mika Eriksen,mika.eriksen599@example.se,19780408-5342,49,
Sanna Rasmussen,sanna.rasmussen920@example.se,19741128-3094,72,Arthritis
Ingrid Berg,ingrid.berg460@example.se,19661215-8878,76,
Anna Hansen,anna.hansen728@example.se,19730401-4186,69,Celiac Disease
Vilde Svensson,vilde.svensson284@example.se,19591009-8425,84,Hypertension
Anna Dahl,anna.dahl19@example.se,19720224-4200,82,
Erik Nielsen,erik.nielsen589@example.se,20020617-5335,78,COPD
Sofie Svensson,sofie.svensson211@example.se,19560412-6447,56,Hypertension
Anna Olofsson,anna.olofsson63@example.se,19970725-8943,84,Hypertension
Maja Lund,maja.lund175@example.se,19940912-2019,76,Migraine
Henrik Berg,henrik.berg852@example.se,19961221-8246,69,
Mika Dahl,mika.dahl967@example.se,19740111-5679,71,Celiac Disease
Erik Holm,erik.holm275@example.se,19741020-7909,67,
Erik Dahl,erik.dahl583@example.se,19850802-1194,72,COPD
Jonas Andersson,jonas.andersson574@example.se,19700108-3773,76,Arthritis
Aksel Virtanen,aksel.virtanen155@example.se,19980124-8449,71,Migraine
Lars Holm,lars.holm297@example.se,19720516-7582,81,Migraine
Maja Karlsen,maja.karlsen344@example.se,19900528-9666,75,Celiac Disease
Henrik Dahl,henrik.dahl988@example.se,19841104-5323,87,Hypothyroidism
Ingrid Lund,ingrid.lund159@example.se,19720807-3692,88,COPD
Jonas Svensson,jonas.svensson148@example.se,19660428-4073,52,Migraine
Tilde Korhonen,tilde.korhonen469@example.se,19710527-2653,72,Celiac Disease
Nora Poulsen,nora.poulsen795@example.se,19811225-4272,73,Hypothyroidism
Anna Korhonen,anna.korhonen855@example.se,19760402-6444,74,Hypothyroidism
Freja Korhonen,freja.korhonen237@example.se,19720421-5470,70,Migraine
Emil Korhonen,emil.korhonen292@example.se,19500603-4472,78,Type 2 Diabetes
Kari Karlsen,kari.karlsen140@example.se,19850709-8077,78,Migraine
Tilde Karlsen,tilde.karlsen129@example.se,19730620-9540,57,Hypertension
Tilde Rasmussen,tilde.rasmussen637@example.se,19620711-8898,61,Type 2 Diabetes
Elias Virtanen,elias.virtanen431@example.se,19790714-3286,68,Hypothyroidism
Sanna Rasmussen,sanna.rasmussen243@example.se,20000204-4063,75,Asthma
Maja Laine,maja.laine305@example.se,19590201-5794,62,Asthma
Mika Hansen,mika.hansen116@example.se,19910208-8272,67,Migraine
Freja Poulsen,freja.poulsen67@example.se,19811226-6012,78,
Oskar Sigurdsson,oskar.sigurdsson476@example.se,19640918-5792,76,COPD
Lars Poulsen,lars.poulsen123@example.se,19560223-3015,80,Hypothyroidism
Oskar Berg,oskar.berg782@example.se,19850901-5771,72,Arthritis
Elias Svensson,elias.svensson389@example.se,19890513-4438,75,Migraine
Kasper Eriksen,kasper.eriksen761@example.se,19930611-9070,52,
Tilde Olofsson,tilde.olofsson242@example.se,19940618-9752,65,Celiac Disease
Lars Korhonen,lars.korhonen87@example.se,19810407-4952,70,Asthma
Freja Lund,freja.lund625@example.se,20050316-7106,60,Celiac Disease
Mika Andersson,mika.andersson345@example.se,19561103-5206,75,Type 2 Diabetes
Elias Hansen,elias.hansen626@example.se,19570509-7384,65,Asthma
Sanna Poulsen,sanna.poulsen466@example.se,19670204-3557,71,Type 2 Diabetes
Nora Svensson,nora.svensson44@example.se,19691105-3206,91,Hypertension
Sanna Lund,sanna.lund626@example.se,19960216-9345,84,Arthritis
Anna Karlsen,anna.karlsen950@example.se,20001213-8663,75,Hypertension
Kari Rasmussen,kari.rasmussen649@example.se,19660120-3627,72,Arthritis
Anna Korhonen,anna.korhonen602@example.se,19741118-2219,80,
Jonas Hansen,jonas.hansen154@example.se,19740813-4790,69,Migraine
Elias Nielsen,elias.nielsen343@example.se,20001228-8982,61,Asthma
Henrik Sigurdsson,henrik.sigurdsson552@example.se,19580922-4664,88,
Elias Berg,elias.berg254@example.se,19530715-4441,78,Type 2 Diabetes
Vilde Svensson,vilde.svensson721@example.se,19910418-8281,83,Type 2 Diabetes
Jonas Virtanen,jonas.virtanen664@example.se,19640814-7537,74,COPD
Sofie Johansen,sofie.johansen693@example.se,19840121-9778,66,Type 2 Diabetes
Sanna Karlsen,sanna.karlsen724@example.se,20010101-5972,80,COPD
Henrik Lund,henrik.lund448@example.se,19531219-7565,80,COPD
Erik Hansen,erik.hansen926@example.se,19741025-4573,63,Hypothyroidism
Mika Johansen,mika.johansen467@example.se,19731025-3225,52,Asthma
Emil Karlsen,emil.karlsen570@example.se,19540523-7312,76,Migraine
Vilde Poulsen,vilde.poulsen316@example.se,19611019-8491,60,Arthritis
Maja Lund,maja.lund608@example.se,19890521-4116,81,
Aksel Johansen,aksel.johansen122@example.se,19651226-9319,61,Hypertension
Oskar Hansen,oskar.hansen186@example.se,19620224-3493,79,Arthritis
Ingrid Sigurdsson,ingrid.sigurdsson475@example.se,19581221-8536,57,Migraine
Anna Dahl,anna.dahl644@example.se,19950508-3043,75,Arthritis
Lars Johansen,lars.johansen791@example.se,19730110-8023,56,Hypertension
Anna Berg,anna.berg541@example.se,19850903-6553,60,Hypothyroidism
Freja Karlsen,freja.karlsen169@example.se,19670805-3543,81,Hypothyroidism
Kasper Sigurdsson,kasper.sigurdsson957@example.se,20040523-2655,61,Celiac Disease
Nora Hansen,nora.hansen944@example.se,19500520-1114,73,
Kasper Poulsen,kasper.poulsen388@example.se,19801123-2598,88,COPD
Lars Holm,lars.holm586@example.se,19730719-7208,71,COPD
Aksel Korhonen,aksel.korhonen78@example.se,20030512-9787,80,
Anna Hansen,anna.hansen503@example.se,19620302-6450,96,
Emil Rasmussen,emil.rasmussen537@example.se,19960810-7182,54,
Kasper Andersson,kasper.andersson40@example.se,19930201-2179,82,Type 2 Diabetes
Emil Olofsson,emil.olofsson568@example.se,19570824-8413,77,Type 2 Diabetes
Jonas Korhonen,jonas.korhonen981@example.se,20001109-9294,82,Celiac Disease
Oskar Laine,oskar.laine391@example.se,19640518-7084,75,
Oskar Hansen,oskar.hansen348@example.se,19751212-9290,69,Celiac Disease
Elias Hansen,elias.hansen554@example.se,19750226-6505,82,Migraine
Nora Olofsson,nora.olofsson938@example.se,19780403-7148,62,Type 2 Diabetes
Kasper Karlsen,kasper.karlsen442@example.se,19571213-8670,59,Celiac Disease
Vilde Poulsen,vilde.poulsen301@example.se,19970325-9557,78,Hypothyroidism
Nora Holm,nora.holm976@example.se,19541103-3106,81,
Elias Olofsson,elias.olofsson879@example.se,19660517-4531,67,Asthma
Nora Laine,nora.laine692@example.se,19690822-4849,65,Hypothyroidism
Sofie Poulsen,sofie.poulsen732@example.se,19710402-9506,78,Celiac Disease
Freja Dahl,freja.dahl249@example.se,19510401-8834,82,Migraine
Kasper Holm,kasper.holm34@example.se,19550410-3979,59,Hypothyroidism
Vilde Olofsson,vilde.olofsson157@example.se,19600726-4685,65,Migraine
Lars Rasmussen,lars.rasmussen281@example.se,19770708-7619,59,Hypertension
Elias Andersson,elias.andersson74@example.se,19870115-5833,60,Arthritis
Jonas Olofsson,jonas.olofsson89@example.se,19950813-8915,70,Hypertension
Ingrid Laine,ingrid.laine151@example.se,20050202-8336,58,COPD
Oskar Hansen,oskar.hansen530@example.se,19911110-9735,66,Hypertension
Kari Karlsen,kari.karlsen914@example.se,19531202-9994,76,Asthma
Vilde Hansen,vilde.hansen328@example.se,19661005-4288,80,Migraine
Sanna Karlsen,sanna.karlsen72@example.se,19810511-1279,49,Migraine
Henrik Dahl,henrik.dahl376@example.se,19860215-3783,69,Migraine
Erik Korhonen,erik.korhonen41@example.se,19950117-7275,78,
Mika Svensson,mika.svensson883@example.se,19880228-7003,87,Migraine
Kari Olofsson,kari.olofsson317@example.se,19761005-7572,86,Hypertension
Mika Nielsen,mika.nielsen420@example.se,19750619-8518,90,Celiac Disease
Oskar Lund,oskar.lund575@example.se,19880815-7867,48,Arthritis
Aksel Eriksen,aksel.eriksen473@example.se,19640106-9373,49,
Oskar Holm,oskar.holm136@example.se,19831116-3143,77,Arthritis
Freja Eriksen,freja.eriksen492@example.se,19770905-1818,84,Asthma
Vilde Korhonen,vilde.korhonen699@example.se,19731028-1554,79,Migraine
Nora Korhonen,nora.korhonen989@example.se,19530801-6716,83,Asthma
Kasper Nielsen,kasper.nielsen573@example.se,20050701-5660,92,Type 2 Diabetes
Jonas Poulsen,jonas.poulsen182@example.se,19950902-4415,48,COPD
Sofie Andersson,sofie.andersson573@example.se,19530513-1750,78,Hypertension
Jonas Johansen,jonas.johansen560@example.se,19931020-9191,77,
Tilde Svensson,tilde.svensson856@example.se,20000425-7354,52,Hypertension
Sanna Hansen,sanna.hansen541@example.se,19710711-2900,81,Migraine
Sofie Dahl,sofie.dahl764@example.se,20030225-6284,82,Celiac Disease
Vilde Sigurdsson,vilde.sigurdsson290@example.se,19520613-9979,72,Type 2 Diabetes
Nora Holm,nora.holm745@example.se,19891022-4856,76,Migraine
Mika Berg,mika.berg646@example.se,19850506-5815,71,Asthma
Kari Johansen,kari.johansen681@example.se,19540711-4520,75,
Oskar Eriksen,oskar.eriksen137@example.se,19800308-5221,74,Type 2 Diabetes
Vilde Olofsson,vilde.olofsson842@example.se,19820303-7642,79,Celiac Disease
Anna Johansen,anna.johansen697@example.se,19700709-6445,76,Migraine
Jonas Korhonen,jonas.korhonen84@example.se,19941014-4184,80,COPD
Tilde Lund,tilde.lund467@example.se,19790520-7415,71,Celiac Disease
Emil Johansen,emil.johansen880@example.se,20030121-9334,74,COPD
Mika Hansen,mika.hansen586@example.se,19850813-6317,88,Hypertension
Erik Holm,erik.holm729@example.se,19960109-5555,77,
Anna Berg,anna.berg24@example.se,19820315-6731,76,Hypothyroidism
Maja Rasmussen,maja.rasmussen247@example.se,19670601-2375,77,Asthma
Tilde Andersson,tilde.andersson457@example.se,19660104-9292,78,
Elias Johansen,elias.johansen549@example.se,19890209-1501,68,Hypothyroidism
Aksel Sigurdsson,aksel.sigurdsson966@example.se,19610517-4134,84,Hypothyroidism
Lars Virtanen,lars.virtanen115@example.se,19910119-5728,64,Asthma
Maja Lund,maja.lund783@example.se,19520914-9008,73,Hypothyroidism
Nora Dahl,nora.dahl119@example.se,19850607-4675,57,Hypothyroidism
Ingrid Berg,ingrid.berg576@example.se,19610411-3697,90,Hypothyroidism
Anna Rasmussen,anna.rasmussen487@example.se,19520427-6714,81,Type 2 Diabetes
Sanna Hansen,sanna.hansen687@example.se,19950305-9642,71,Migraine
Kasper Rasmussen,kasper.rasmussen928@example.se,20040605-9755,65,Type 2 Diabetes
Sofie Korhonen,sofie.korhonen546@example.se,19870102-4686,64,COPD
Maja Korhonen,maja.korhonen476@example.se,19770405-5009,75,
Anna Poulsen,anna.poulsen569@example.se,19810520-9534,71,Celiac Disease
Ingrid Sigurdsson,ingrid.sigurdsson212@example.se,19961114-5746,85,Arthritis
Henrik Hansen,henrik.hansen448@example.se,19600127-8359,87,Arthritis
Vilde Lund,vilde.lund894@example.se,20020720-8775,72,Type 2 Diabetes
Sofie Karlsen,sofie.karlsen301@example.se,19511121-4206,65,
Henrik Laine,henrik.laine113@example.se,19860416-5346,64,Arthritis
Sanna Korhonen,sanna.korhonen254@example.se,19820425-6278,53,COPD
Nora Svensson,nora.svensson782@example.se,19730516-9465,70,Arthritis
Mika Berg,mika.berg660@example.se,19921012-8677,64,Arthritis
Freja Nielsen,freja.nielsen566@example.se,19661211-8977,79,
Kasper Dahl,kasper.dahl990@example.se,19710423-5512,68,Arthritis
Sofie Nielsen,sofie.nielsen544@example.se,19500601-7908,58,Arthritis
Freja Dahl,freja.dahl430@example.se,19711103-8766,69,Migraine
Aksel Laine,aksel.laine591@example.se,19501014-1458,65,Asthma
Ingrid Virtanen,ingrid.virtanen507@example.se,19840526-6010,83,Asthma
Anna Laine,anna.laine620@example.se,19571011-9228,75,Celiac Disease
Henrik Laine,henrik.laine353@example.se,19930619-2118,83,Hypertension
Tilde Hansen,tilde.hansen103@example.se,19760124-5121,72,Celiac Disease
Nora Holm,nora.holm932@example.se,19970115-3152,62,
Nora Sigurdsson,nora.sigurdsson331@example.se,19600715-1796,67,Hypertension
Ingrid Dahl,ingrid.dahl784@example.se,19941015-9564,67,COPD
Nora Lund,nora.lund931@example.se,19830626-2597,71,Asthma
Sanna Lund,sanna.lund111@example.se,19640806-4189,62,Celiac Disease
Erik Andersson,erik.andersson607@example.se,19510512-6125,78,Asthma
Sofie Hansen,sofie.hansen792@example.se,20030509-4514,71,Type 2 Diabetes
Nora Holm,nora.holm26@example.se,19680515-7584,86,Hypothyroidism
Maja Andersson,maja.andersson256@example.se,20011201-9812,65,Celiac Disease
Aksel Dahl,aksel.dahl16@example.se,19650713-3121,79,
Ingrid Laine,ingrid.laine260@example.se,19661010-5141,72,Asthma
Kari Hansen,kari.hansen822@example.se,19820615-4088,80,Migraine
Sanna Johansen,sanna.johansen632@example.se,19650107-4896,76,Hypertension
Jonas Svensson,jonas.svensson944@example.se,19990108-6362,63,
Emil Eriksen,emil.eriksen723@example.se,19890801-4363,70,
Henrik Rasmussen,henrik.rasmussen731@example.se,19561009-8232,73,
Mika Nielsen,mika.nielsen746@example.se,19920725-4933,82,Hypertension
Lars Lund,lars.lund751@example.se,19561211-8766,82,Hypothyroidism
Ingrid Laine,ingrid.laine141@example.se,19981214-6840,63,
Sanna Dahl,sanna.dahl671@example.se,19840913-4525,68,Hypothyroidism
Vilde Holm,vilde.holm930@example.se,19890825-6793,85,Celiac Disease
Sofie Poulsen,sofie.poulsen89@example.se,19860202-7566,77,Hypertension
Emil Sigurdsson,emil.sigurdsson360@example.se,19921211-5878,78,
Vilde Lund,vilde.lund977@example.se,19720814-2682,58,
Mika Andersson,mika.andersson548@example.se,19500714-5663,85,Hypothyroidism
Lars Rasmussen,lars.rasmussen944@example.se,19881011-9487,74,Hypothyroidism
Ingrid Svensson,ingrid.svensson711@example.se,19780915-3652,67,COPD
Elias Holm,elias.holm650@example.se,19601016-4749,92,Type 2 Diabetes
Sofie Karlsen,sofie.karlsen768@example.se,19610421-4526,72,Arthritis
Ingrid Poulsen,ingrid.poulsen419@example.se,20020411-3974,67,Type 2 Diabetes
Elias Nielsen,elias.nielsen803@example.se,19710707-6357,56,Migraine
Emil Eriksen,emil.eriksen524@example.se,20020614-4089,64,Type 2 Diabetes
Henrik Eriksen,henrik.eriksen316@example.se,19620827-4924,65,Hypothyroidism
Aksel Berg,aksel.berg140@example.se,19670825-1866,56,COPD
Jonas Hansen,jonas.hansen906@example.se,20000324-8831,70,Asthma
Tilde Rasmussen,tilde.rasmussen905@example.se,19740603-9967,71,Celiac Disease
Tilde Karlsen,tilde.karlsen173@example.se,20020624-8345,55,
Henrik Johansen,henrik.johansen400@example.se,19690727-3566,59,Asthma
Vilde Holm,vilde.holm589@example.se,19611222-8751,71,Celiac Disease
Kari Nielsen,kari.nielsen217@example.se,19560404-7758,61,Hypertension
Anna Olofsson,anna.olofsson133@example.se,20040524-9169,73,Hypothyroidism
Lars Olofsson,lars.olofsson746@example.se,19631101-1165,89,
Oskar Dahl,oskar.dahl52@example.se,19851215-7847,79,Asthma
Kari Eriksen,kari.eriksen425@example.se,19970918-7675,80,Asthma
Emil Rasmussen,emil.rasmussen611@example.se,19610803-4917,85,Arthritis
Maja Rasmussen,maja.rasmussen28@example.se,19600210-9572,86,COPD
Jonas Holm,jonas.holm883@example.se,19650828-2277,53,
Jonas Dahl,jonas.dahl51@example.se,19710628-7452,88,Arthritis
Erik Hansen,erik.hansen633@example.se,20020703-5691,94,Migraine
Emil Nielsen,emil.nielsen660@example.se,19850519-5502,69,Hypothyroidism
Nora Laine,nora.laine471@example.se,19751117-5035,67,Asthma
Jonas Karlsen,jonas.karlsen285@example.se,19911206-6822,49,Hypertension
Henrik Rasmussen,henrik.rasmussen884@example.se,19880604-9257,86,Celiac Disease
Elias Hansen,elias.hansen714@example.se,19750422-7087,65,Celiac Disease
Nora Olofsson,nora.olofsson73@example.se,19681221-8646,65,Arthritis
Aksel Sigurdsson,aksel.sigurdsson516@example.se,19850413-7592,81,Asthma
Henrik Berg,henrik.berg536@example.se,19690104-4186,53,
Elias Dahl,elias.dahl124@example.se,19620212-8763,83,COPD
Tilde Hansen,tilde.hansen604@example.se,19580626-1387,65,
Freja Holm,freja.holm272@example.se,19640320-4943,62,Arthritis
Elias Nielsen,elias.nielsen573@example.se,19830109-2653,76,COPD
Oskar Dahl,oskar.dahl188@example.se,20030521-9127,89,Migraine
Elias Svensson,elias.svensson49@example.se,19980428-7235,71,Arthritis
Lars Rasmussen,lars.rasmussen252@example.se,19881226-3904,84,COPD
Kasper Andersson,kasper.andersson841@example.se,19781109-2802,70,Type 2 Diabetes
Emil Berg,emil.berg75@example.se,19560728-3748,66,Type 2 Diabetes
Vilde Hansen,vilde.hansen502@example.se,19860907-4238,83,
Tilde Hansen,tilde.hansen907@example.se,19831222-9395,86,COPD
Freja Holm,freja.holm388@example.se,19990625-9778,65,Hypothyroidism
Emil Karlsen,emil.karlsen504@example.se,19890324-1496,72,Hypertension
Aksel Virtanen,aksel.virtanen904@example.se,20020601-8202,69,Hypertension
Tilde Berg,tilde.berg895@example.se,19570615-2758,73,
Oskar Korhonen,oskar.korhonen690@example.se,19800908-5895,81,
Jonas Virtanen,jonas.virtanen825@example.se,19830612-6023,80,Migraine
Sanna Johansen,sanna.johansen480@example.se,20000723-5067,59,
Erik Eriksen,erik.eriksen337@example.se,19740121-1693,81,Arthritis
Emil Dahl,emil.dahl998@example.se,19830611-9403,68,Hypothyroidism
Kari Nielsen,kari.nielsen115@example.se,19961208-8767,68,Celiac Disease
Aksel Eriksen,aksel.eriksen197@example.se,20000821-2271,62,
Sanna Sigurdsson,sanna.sigurdsson93@example.se,19650904-5818,62,Migraine
Emil Rasmussen,emil.rasmussen941@example.se,20040824-2376,85,Asthma
Kasper Rasmussen,kasper.rasmussen283@example.se,19810318-9866,46,Asthma
Freja Korhonen,freja.korhonen118@example.se,19580425-3394,74,Asthma
Mika Hansen,mika.hansen146@example.se,19570814-2510,84,
Emil Korhonen,emil.korhonen315@example.se,19680116-4297,83,Migraine
Kasper Andersson,kasper.andersson242@example.se,19780323-9775,66,Hypertension
Anna Hansen,anna.hansen371@example.se,19810528-8774,69,Arthritis
Anna Svensson,anna.svensson396@example.se,19650106-9621,77,Type 2 Diabetes
Aksel Virtanen,aksel.virtanen686@example.se,19910327-2857,49,Type 2 Diabetes
Tilde Nielsen,tilde.nielsen438@example.se,19900920-5882,67,
Oskar Svensson,oskar.svensson702@example.se,19721214-3965,62,COPD
Sofie Laine,sofie.laine553@example.se,19981110-5737,56,Hypothyroidism
Henrik Korhonen,henrik.korhonen526@example.se,19940602-2175,88,COPD
Tilde Virtanen,tilde.virtanen610@example.se,19910522-6478,63,Hypertension
Sofie Virtanen,sofie.virtanen471@example.se,20021225-8684,57,
Lars Korhonen,lars.korhonen639@example.se,19730511-8069,89,Hypertension
Vilde Rasmussen,vilde.rasmussen359@example.se,19790422-2138,66,Asthma
Elias Virtanen,elias.virtanen186@example.se,19841202-6440,72,Hypothyroidism
Oskar Laine,oskar.laine545@example.se,19620315-6751,58,Type 2 Diabetes
Aksel Berg,aksel.berg209@example.se,19961025-7877,77,Hypothyroidism
Emil Andersson,emil.andersson733@example.se,19990717-1867,59,Arthritis
Oskar Olofsson,oskar.olofsson69@example.se,20030118-9851,95,Arthritis
Maja Laine,maja.laine209@example.se,20040219-2584,68,Celiac Disease
Kasper Holm,kasper.holm679@example.se,19691123-7351,75,
Emil Virtanen,emil.virtanen637@example.se,19790808-9601,61,Asthma
Emil Laine,emil.laine369@example.se,19590310-3846,78,Type 2 Diabetes
Ingrid Poulsen,ingrid.poulsen29@example.se,19880828-1058,69,Asthma
Nora Poulsen,nora.poulsen263@example.se,20050722-6575,81,
Kari Holm,kari.holm255@example.se,19751121-2610,93,Migraine
Vilde Hansen,vilde.hansen432@example.se,19900119-7624,65,Type 2 Diabetes
Jonas Johansen,jonas.johansen538@example.se,19950105-7785,69,COPD
Freja Poulsen,freja.poulsen65@example.se,19700706-2966,57,
Lars Berg,lars.berg556@example.se,19780604-3812,70,Celiac Disease
Jonas Karlsen,jonas.karlsen322@example.se,19880217-1657,70,COPD
Freja Olofsson,freja.olofsson741@example.se,19950222-3821,70,
Oskar Berg,oskar.berg604@example.se,19601122-9723,60,Migraine
Sofie Virtanen,sofie.virtanen111@example.se,19590506-8190,80,Arthritis
Freja Virtanen,freja.virtanen700@example.se,19930316-3511,61,Asthma
Oskar Karlsen,oskar.karlsen655@example.se,20030728-5916,73,Hypothyroidism
Nora Korhonen,nora.korhonen771@example.se,19530825-7127,78,Migraine
Nora Lund,nora.lund380@example.se,19840117-9290,62,Celiac Disease
Sanna Dahl,sanna.dahl499@example.se,19961213-9399,71,Migraine
Sanna Sigurdsson,sanna.sigurdsson323@example.se,19840404-4341,74,Arthritis
Lars Berg,lars.berg526@example.se,19781009-2561,75,COPD
Freja Dahl,freja.dahl459@example.se,19630717-7311,62,Celiac Disease
Freja Korhonen,freja.korhonen788@example.se,20030614-1688,69,COPD
Kari Korhonen,kari.korhonen332@example.se,19790228-8029,75,Hypertension
Freja Svensson,freja.svensson712@example.se,19771217-1521,47,Asthma
Jonas Andersson,jonas.andersson457@example.se,19780722-9456,56,
Freja Johansen,freja.johansen639@example.se,19790815-9238,82,Hypertension
Jonas Lund,jonas.lund744@example.se,19731120-1305,72,Asthma
Oskar Karlsen,oskar.karlsen896@example.se,19780804-8138,59,Celiac Disease
Freja Virtanen,freja.virtanen369@example.se,19700622-2984,64,Asthma
Kari Rasmussen,kari.rasmussen86@example.se,19621108-5874,53,Migraine
Sofie Eriksen,sofie.eriksen610@example.se,19650206-2758,84,
Elias Karlsen,elias.karlsen208@example.se,19601106-7090,82,
Maja Poulsen,maja.poulsen875@example.se,19560912-4966,71,Asthma
Tilde Dahl,tilde.dahl616@example.se,19871005-6964,70,Migraine
Lars Eriksen,lars.eriksen493@example.se,19981204-8508,72,Celiac Disease
Erik Dahl,erik.dahl46@example.se,19881108-1211,62,Migraine
Anna Dahl,anna.dahl262@example.se,19880726-4225,86,Hypertension
Freja Holm,freja.holm69@example.se,19640216-1931,85,Hypertension
Ingrid Holm,ingrid.holm893@example.se,19910117-3585,77,Hypertension
Henrik Olofsson,henrik.olofsson606@example.se,19970802-8669,65,COPD
Ingrid Berg,ingrid.berg932@example.se,19680119-9083,73,Migraine
Mika Andersson,mika.andersson515@example.se,19780720-8350,79,Hypothyroidism
Erik Hansen,erik.hansen246@example.se,19880803-5975,68,
Kari Johansen,kari.johansen690@example.se,19541114-6116,65,Asthma
Anna Laine,anna.laine566@example.se,19901014-9098,64,Celiac Disease
Henrik Eriksen,henrik.eriksen810@example.se,19900426-9364,58,Migraine
Erik Dahl,erik.dahl414@example.se,19851027-4613,72,Arthritis
Maja Holm,maja.holm203@example.se,19590127-2467,73,
Anna Lund,anna.lund255@example.se,19720502-7502,69,Arthritis
Kari Berg,kari.berg661@example.se,19920912-2484,55,Type 2 Diabetes
Elias Eriksen,elias.eriksen408@example.se,19640728-2549,77,COPD
Mika Rasmussen,mika.rasmussen193@example.se,19741027-5242,81,Celiac Disease
Henrik Olofsson,henrik.olofsson500@example.se,20050709-9326,77,Migraine
Tilde Eriksen,tilde.eriksen529@example.se,19550625-5567,65,
Oskar Johansen,oskar.johansen157@example.se,19790507-2379,78,Celiac Disease
Emil Holm,emil.holm652@example.se,20030520-7064,87,Hypertension
Sofie Johansen,sofie.johansen996@example.se,19860910-9425,80,Migraine
Kasper Lund,kasper.lund975@example.se,19941122-7413,57,Hypertension
Nora Svensson,nora.svensson660@example.se,19990612-7151,70,Celiac Disease
Tilde Karlsen,tilde.karlsen493@example.se,20000820-5042,74,
Nora Berg,nora.berg67@example.se,19880725-8204,53,Type 2 Diabetes
Maja Berg,maja.berg299@example.se,19541214-1533,62,
Maja Eriksen,maja.eriksen473@example.se,20040511-6513,87,Hypertension
Mika Virtanen,mika.virtanen166@example.se,19980418-9322,79,Type 2 Diabetes
Henrik Nielsen,henrik.nielsen547@example.se,20020921-7862,74,
Sanna Lund,sanna.lund701@example.se,19711013-3612,47,
Mika Dahl,mika.dahl848@example.se,19831222-2886,75,Migraine
Henrik Eriksen,henrik.eriksen155@example.se,19590925-7088,71,Migraine
Ingrid Dahl,ingrid.dahl578@example.se,19570209-7108,55,Hypertension
Emil Holm,emil.holm406@example.se,19771125-7593,75,Hypertension
Tilde Svensson,tilde.svensson148@example.se,20040517-2297,90,Celiac Disease
Kari Lund,kari.lund603@example.se,19550818-3804,97,
Henrik Nielsen,henrik.nielsen989@example.se,19970906-1974,68,
Kari Johansen,kari.johansen433@example.se,19780718-4837,77,Hypertension
Aksel Holm,aksel.holm268@example.se,19551228-3687,79,Hypothyroidism
Sofie Rasmussen,sofie.rasmussen186@example.se,20030827-9868,66,COPD
Henrik Olofsson,henrik.olofsson770@example.se,19790916-9089,74,Type 2 Diabetes
Jonas Sigurdsson,jonas.sigurdsson977@example.se,19591220-3594,70,Asthma
Tilde Holm,tilde.holm332@example.se,19730515-1494,78,Asthma
Sofie Sigurdsson,sofie.sigurdsson337@example.se,20000319-2031,66,COPD
Tilde Holm,tilde.holm140@example.se,19561220-9807,70,Celiac Disease
Aksel Nielsen,aksel.nielsen445@example.se,19590212-7722,73,Hypothyroidism
Maja Holm,maja.holm598@example.se,19911118-7636,66,Asthma
Sofie Virtanen,sofie.virtanen333@example.se,19540911-3122,53,COPD
Tilde Andersson,tilde.andersson241@example.se,19540405-6511,77,Hypothyroidism
Maja Dahl,maja.dahl315@example.se,19700923-8436,63,Arthritis
Erik Dahl,erik.dahl255@example.se,19700601-1037,62,Arthritis
Anna Virtanen,anna.virtanen527@example.se,19830922-7015,74,Hypothyroidism
Ingrid Poulsen,ingrid.poulsen16@example.se,19810718-2274,69,Celiac Disease
Emil Nielsen,emil.nielsen689@example.se,19900728-3451,72,Type 2 Diabetes
Aksel Holm,aksel.holm694@example.se,19570704-7895,87,
Ingrid Laine,ingrid.laine98@example.se,19830210-1246,79,Asthma
Kasper Svensson,kasper.svensson987@example.se,19880203-7686,66,
Elias Nielsen,elias.nielsen675@example.se,19731012-3964,68,Hypothyroidism
Erik Virtanen,erik.virtanen140@example.se,19941120-2831,53,COPD
Emil Svensson,emil.svensson452@example.se,19800124-6980,51,Asthma
Mika Hansen,mika.hansen784@example.se,19971203-7434,81,Asthma
Sanna Berg,sanna.berg513@example.se,19720620-5426,62,
Sanna Poulsen,sanna.poulsen98@example.se,19680104-4446,74,Migraine
